Main food description,GCAM,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
Raccoon,OtherMeat_Fish,253,28.97,0,0,0,14.38,4.038,5.169,2.073,96,0,0,0,0,0,0,0,0.585,0.516,4.643,0.466,0,11,11,11,114.5,8.23,0,0,0,0.49,0,1.7,14,259,30,7.04,2.25,0.188,17.9,395,386,0,0,0,0,0,0,0,0,0.548,2.267,1.122,0.953,4.047,0.056,0,1.271,0.062,0,0.368,0.051,0.099,0.032,53.87
Armadillo,OtherMeat_Fish,159,28.08,0,0,0,4.34,1.29,1.696,0.635,76,0,0,0,0,0,0,0,0.308,0.139,4.177,0.415,0,6,6,6,116.5,0.69,0,0,0,0.38,0,1.4,16,133,27,1.11,2.99,0.056,12.9,393,367,0,0,0,0,0,0,0,0,0.05,0.764,0.437,0.218,1.478,0,0,0.496,0.03,0,0.109,0,0,0,63.37
Wild pig,OtherMeat_Fish,159,28.08,0,0,0,4.34,1.29,1.696,0.635,76,0,0,0,0,0,0,0,0.308,0.139,4.177,0.415,0,6,6,6,116.5,0.69,0,0,0,0.38,0,1.4,16,133,27,1.11,2.99,0.056,12.9,393,367,0,0,0,0,0,0,0,0,0.05,0.764,0.437,0.218,1.478,0,0,0.496,0.03,0,0.109,0,0,0,63.37
"Liver, beef",OtherMeat_Fish,174,26.31,5.12,0,0,4.64,2.51,1.097,1.013,378,7667,7683,11,181,21,0,0,0.176,3.398,17.336,1.019,0,258,258,258,414.9,82.47,0,0.7,1.2,0.46,0,3.9,6,481,22,6.12,5.19,14.472,32.5,348,384,0,0,0,0,0,0,0,0,0.037,0.718,1.667,0.085,0.979,0.008,0,0,0.036,0,0.306,0,0,0,61.52
"Liver, chicken",OtherMeat_Fish,189,20.02,6.48,0.02,0.2,8.69,2.561,2.702,2.385,392,2803,2808,9,48,9,34,1,0.295,1.847,9.284,0.586,7,569,580,575,199.5,15.07,0,16.3,0,0.99,0,1.7,11,312,20,10.12,3.09,0.57,63.2,232,453,0,0,0,0,0,0,0,0,0.019,1.4,1.103,0.121,2.56,0.021,0,1.381,0.074,0,0.37,0,0,0,62.58
Heart,OtherMeat_Fish,164,28.25,0.15,0,0,4.69,1.393,1.003,0.977,210,0,0,0,0,0,0,0,0.1,1.2,6.627,0.243,0,5,5,5,227,10.71,0,0,0.1,0.29,0,0.5,5,252,21,6.33,2.85,0.555,38.6,217,366,0,0,0,0,0,0,0,0,0.05,0.605,0.664,0.059,0.929,0.01,0,0.73,0.019,0,0.217,0,0,0,65.15
Kidney,OtherMeat_Fish,157,27.05,0,0,0,4.61,1.428,0.952,1.129,710,0,0,0,0,0,23,0,0.159,2.946,3.889,0.388,0,82,82,82,509.1,24.7,0,0,1.1,0.08,0,0,19,302,12,5.75,2.82,0.56,166.7,134,400,0,0,0,0,0,0,0,0,0.02,0.644,0.612,0.068,0.861,0.023,0,0.621,0.022,0,0.439,0,0,0,66.35
Sweetbreads,OtherMeat_Fish,124,22.49,0,0,0,3.08,0.935,0.896,0.312,347,0,0,0,0,0,0,0,0.054,0.099,3.353,0.027,0,20,20,20,207.6,2.83,0,39.1,0,0.09,0,0,4,622,24,1.23,2.11,0.071,21.3,432,366,0,0,0,0,0,0,0,0,0.041,0.518,0.339,0.059,0.816,0.016,0,0.188,0,0,0.108,0,0,0,73.05
Brains,OtherMeat_Fish,150,11.58,1.47,0,0,10.45,2.375,1.867,1.619,3075,0,6,0,69,0,0,0,0.068,0.215,3.591,0.142,0,5,5,5,487,10.02,0,10.4,0,1.66,0,0.1,9,332,12,2.28,1.08,0.228,21.6,242,414,0,0,0,0,0,0,0,0,0.029,0.966,1.295,0.023,1.654,0.191,0,0.039,0,0,0.352,0,0.38,0.848,74.27
Tongue,OtherMeat_Fish,282,19.14,0,0,0,22.12,8.061,10.022,0.74,131,0,0,0,0,0,0,0,0.022,0.292,3.462,0.154,0,7,7,7,153.8,3.1,0,1.3,0.4,0.3,0,1.2,5,144,15,2.59,4.06,0.147,13.1,183,372,0,0,0,0,0,0,0,0.024,0.726,4.606,2.328,0.922,8.834,0.075,0,0.522,0.09,0,0.058,0,0,0,57.41
Tripe,OtherMeat_Fish,89,12.6,0,0,0,3.85,1.348,1.601,0.188,127,0,0,0,0,0,0,0,0,0.067,0.828,0.008,0,4,4,4,203.4,1.09,0,0,0,0.09,0,0,72,67,14,0.62,1.48,0.073,13.1,70,425,0,0,0,0,0,0,0,0,0.073,0.671,0.484,0.092,1.476,0.018,0,0.121,0.011,0,0.05,0,0,0,82.63
Chitterlings,OtherMeat_Fish,231,12.39,0,0,0,20.16,9.444,7.017,1.207,275,0,0,0,0,0,0,0,0.014,0.046,0.086,0,0,1,1,1,467.3,0.42,0,0,0,0.23,0,0,25,65,9,1.46,1.84,0.046,26.8,14,325,0,0,0,0,0,0.02,0,0,0.287,5.091,3.854,0.365,6.52,0.132,0,0.972,0.033,0,0.145,0,0,0,67.33
Hog maws,OtherMeat_Fish,250,26.53,0,0,0,15.97,6.338,5.653,1.405,351,0,0,0,0,0,0,0,0.052,0.174,1.757,0.024,0,3,3,3,306.8,0.28,0,0,0,0.06,0,0,17,143,10,0.95,2.62,0.2,49,99,541,0,0,0,0,0,0,0,0,0.197,3.565,2.505,0.318,5.228,0.107,0,1.14,0.033,0,0.173,0,0,0,57.02
Gizzard,OtherMeat_Fish,153,30.15,0,0,0,2.66,0.665,0.524,0.35,367,0,0,0,0,0,0,0,0.026,0.208,3.095,0.07,0,5,5,5,103.6,1.03,0,0,0,0.2,0,0,17,188,3,3.16,4.38,0.16,40.8,178,363,0,0,0,0,0,0,0,0,0,0.405,0.236,0.073,0.439,0.011,0,0.221,0.007,0,0.103,0,0,0,67.39
"Fish, raw",OtherMeat_Fish,94,17.22,0,0,0,2.34,0.557,0.856,0.517,55,8,8,0,0,0,0,0,0.038,0.059,2.101,0.147,0,14,14,14,59.4,2.18,0,0,1.3,0.51,0,0.9,18,219,22,0.32,0.5,0.039,26.2,272,83,0,0,0,0,0,0,0,0.001,0.039,0.394,0.111,0.08,0.728,0.032,0.002,0.249,0.035,0.012,0.038,0.037,0.02,0.092,80.34
"Fish, smoked",OtherMeat_Fish,116,25.23,0,0,0,0.96,0.173,0.157,0.321,77,24,24,0,0,0,0,0,0.047,0.049,5.073,0.4,0,15,15,15,92.3,1.6,0,0,0.8,0.55,0,0.1,49,251,54,1.4,0.5,0.042,42.9,415,763,0,0,0,0,0,0,0,0,0.011,0.117,0.044,0.023,0.089,0.013,0.031,0.012,0.003,0.004,0.031,0.079,0.025,0.168,71.48
"Fish, carp",OtherMeat_Fish,213,19.97,7.79,0.14,0.3,10.72,2.395,4.057,2.936,77,29,30,0,9,0,0,7,0.199,0.104,2.4,0.217,13,17,39,30,73,1.46,0,1.3,26,1.28,0,4.2,53,451,34,1.89,1.65,0.078,15.3,366,314,0,0,0,0.032,0.022,0.013,0.03,0.036,0.234,1.392,0.455,0.714,2.759,0.096,0.421,1.817,0.441,0.061,0.161,0.25,0.087,0.119,60.48
"Fish, catfish, baked or broiled",OtherMeat_Fish,189,18.93,0.01,0.01,0,11.91,2.821,4.751,2.738,72,19,20,0,9,0,0,0,0.021,0.098,2.614,0.201,0,11,11,11,81.1,3.22,0,0,0.3,1.61,0,6.6,11,254,24,0.29,0.6,0.04,10.2,376,337,0,0,0,0.032,0.022,0.013,0.03,0.038,0.183,1.822,0.596,0.194,4.389,0.112,0.004,2.189,0.242,0.003,0.056,0.021,0.019,0.071,68.89
"Fish, catfish, grilled",OtherMeat_Fish,171,19.31,0,0,0,9.8,2.258,4.04,2.093,72,10,10,0,4,0,0,0,0.022,0.1,2.669,0.19,0,11,11,11,82.6,3.29,0,0,0.3,1.33,0,4.6,11,259,24,0.29,0.61,0.041,10.4,383,332,0,0,0,0.016,0.011,0.007,0.015,0.02,0.128,1.518,0.482,0.185,3.701,0.103,0.004,1.612,0.168,0.003,0.057,0.022,0.019,0.072,70.64
"Fish, catfish, steamed",OtherMeat_Fish,150,19.24,0,0,0,7.5,1.655,3.25,1.414,69,0,0,0,0,0,0,0,0.021,0.1,2.659,0.175,0,11,11,11,82.1,3.27,0,0,0.3,1.02,0,2.7,10,258,24,0.29,0.61,0.04,10.4,382,222,0,0,0,0,0,0,0,0.003,0.071,1.186,0.359,0.172,2.943,0.092,0.004,1.011,0.091,0.003,0.056,0.021,0.019,0.072,73.3
"Fish, cod, baked or broiled",OtherMeat_Fish,126,18.98,0.01,0.01,0,5.04,1.3,1.647,1.552,62,22,22,0,9,0,0,0,0.035,0.053,1.36,0.16,0,8,8,8,81.1,2.21,0,0,0.7,1.28,0,4,11,349,25,0.2,0.39,0.024,28.4,292,351,0,0,0,0.032,0.022,0.013,0.03,0.037,0.117,0.727,0.27,0.03,1.547,0.028,0.001,1.217,0.154,0,0.012,0.043,0.006,0.119,74.96
"Fish, cod, grilled",OtherMeat_Fish,108,19.36,0,0,0,2.79,0.705,0.871,0.882,61,12,12,0,4,0,0,0,0.036,0.054,1.388,0.148,0,8,8,8,82.6,2.26,0,0,0.7,0.99,0,2,11,356,25,0.21,0.39,0.024,29,298,346,0,0,0,0.016,0.011,0.007,0.015,0.019,0.061,0.4,0.148,0.018,0.801,0.017,0.001,0.619,0.078,0,0.011,0.043,0.005,0.122,76.84
"Fish, cod, steamed",OtherMeat_Fish,87,19.29,0,0,0,0.52,0.107,0.092,0.207,59,2,2,0,0,0,0,0,0.035,0.054,1.383,0.133,0,8,8,8,82.1,2.25,0,0,0.6,0.68,0,0,10,355,25,0.2,0.39,0.024,28.9,297,235,0,0,0,0,0,0,0,0.001,0.004,0.072,0.027,0.005,0.053,0.006,0.001,0.021,0.001,0,0.01,0.043,0.005,0.121,79.47
"Fish, croaker",OtherMeat_Fish,189,19.92,7.79,0.14,0.3,8.17,2.4,2.821,1.923,72,32,33,0,9,0,0,7,0.163,0.143,5.082,0.32,13,17,39,30,75.1,2.37,0,0,0.8,1.97,0,4.2,26,236,45,0.97,0.54,0.062,40.3,378,322,0,0,0,0.032,0.022,0.013,0.03,0.036,0.165,1.579,0.474,0.514,2.175,0.112,0,1.323,0.167,0.012,0.098,0.129,0.091,0.102,62.29
"Fish, eel",OtherMeat_Fish,273,20.61,7.79,0.14,0.3,17.07,3.731,9.151,2.429,140,950,951,0,9,0,0,7,0.23,0.089,4.349,0.101,13,17,39,30,73,2.85,0,1.5,24.5,4.81,0,4.1,31,242,24,1.11,1.8,0.042,8.9,302,317,0,0,0,0.032,0.022,0.013,0.03,0.036,0.722,2.364,0.461,1.342,4.458,3.165,0,1.48,0.611,0,0.101,0.088,0.078,0.066,52.05
"Fish, flounder, baked or broiled",OtherMeat_Fish,128,15.42,0.01,0.01,0,6.93,1.742,2.22,1.813,60,30,31,0,9,0,0,0,0.023,0.024,1.292,0.139,0,6,6,6,81.1,1.26,0,0,3.5,1.39,0,4.1,27,313,22,0.23,0.4,0.024,33,199,316,0,0,0,0.032,0.022,0.013,0.034,0.043,0.222,1.006,0.309,0.137,1.94,0.096,0.001,1.251,0.174,0.015,0.02,0.17,0.035,0.134,75.8
"Fish, flounder, grilled",OtherMeat_Fish,109,15.74,0,0,0,4.72,1.156,1.456,1.148,59,21,21,0,4,0,0,0,0.024,0.024,1.318,0.126,0,6,6,6,82.6,1.29,0,0,3.6,1.1,0,2.1,27,320,23,0.23,0.41,0.024,33.7,203,311,0,0,0,0.016,0.011,0.007,0.019,0.025,0.167,0.685,0.189,0.127,1.201,0.087,0.001,0.655,0.098,0.015,0.02,0.174,0.036,0.137,77.7
"Fish, flounder, steamed",OtherMeat_Fish,88,15.68,0,0,0,2.44,0.557,0.676,0.472,57,11,11,0,0,0,0,0,0.024,0.024,1.314,0.111,0,6,6,6,82.1,1.28,0,0,3.5,0.8,0,0.1,27,318,23,0.23,0.4,0.024,33.6,202,200,0,0,0,0,0,0,0.004,0.008,0.11,0.356,0.067,0.114,0.452,0.076,0.001,0.057,0.021,0.015,0.019,0.173,0.035,0.136,80.33
"Fish, haddock, baked or broiled",OtherMeat_Fish,126,20.26,0.01,0.01,0,5.1,1.31,1.627,1.551,71,37,38,0,9,0,0,0,0.021,0.068,4.173,0.343,0,13,13,13,81.1,2.04,0,0,0.7,1.16,0,4.1,14,282,26,0.22,0.4,0.026,32.2,356,300,0,0,0,0.033,0.022,0.013,0.032,0.037,0.119,0.734,0.268,0.03,1.543,0.028,0.003,1.214,0.155,0.003,0.013,0.053,0.007,0.111,74.28
"Fish, haddock, grilled",OtherMeat_Fish,108,20.67,0,0,0,2.84,0.715,0.85,0.881,70,28,28,0,4,0,0,0,0.022,0.069,4.259,0.335,0,14,14,14,82.6,2.09,0,0,0.7,0.87,0,2.1,14,288,27,0.22,0.41,0.027,32.8,363,294,0,0,0,0.017,0.011,0.007,0.016,0.019,0.062,0.408,0.147,0.018,0.796,0.017,0.003,0.617,0.079,0.003,0.012,0.053,0.007,0.113,76.14
"Fish, haddock, steamed",OtherMeat_Fish,87,20.59,0,0,0,0.57,0.117,0.072,0.206,68,18,18,0,0,0,0,0,0.021,0.068,4.245,0.319,0,14,14,14,82.1,2.08,0,0,0.6,0.57,0,0.1,14,287,27,0.22,0.4,0.027,32.7,361,184,0,0,0,0.001,0,0,0.001,0.001,0.005,0.08,0.025,0.005,0.048,0.006,0.003,0.019,0.003,0.003,0.011,0.053,0.006,0.112,78.78
"Fish, halibut",OtherMeat_Fish,175,20.73,7.79,0.14,0.3,6.24,1.566,2.111,1.741,59,39,40,0,9,0,0,7,0.141,0.079,7.506,0.554,13,14,37,27,69.7,1.05,0,0,5,1.26,0,4.1,18,263,27,0.75,0.48,0.042,49.8,473,334,0,0,0,0.032,0.022,0.013,0.03,0.041,0.165,0.886,0.318,0.099,1.794,0.161,0.015,1.311,0.169,0.008,0.016,0.07,0.017,0.134,64.71
"Fish, mackerel, baked or broiled",OtherMeat_Fish,237,24.94,0.01,0.01,0,14.33,3.985,4.821,3.758,62,40,40,0,9,0,0,0,0.117,0.497,10.332,0.398,0,2,2,2,83.5,4.92,0,2,11.3,1.85,0,4.1,29,156,35,1.45,0.83,0.116,45.3,505,322,0,0,0,0.032,0.022,0.013,0.03,0.047,0.536,2.381,0.791,0.609,3.144,0.425,0.602,1.34,0.215,0.155,0.102,0.632,0.153,1.157,57.82
"Fish, mackerel, grilled",OtherMeat_Fish,221,25.45,0,0,0,12.27,3.446,4.111,3.134,61,30,31,0,4,0,0,0,0.12,0.507,10.547,0.391,0,2,2,2,85,5.02,0,2,11.6,1.57,0,2.1,30,159,36,1.47,0.85,0.118,46.3,515,317,0,0,0,0.016,0.011,0.007,0.015,0.029,0.488,2.089,0.681,0.608,2.431,0.423,0.615,0.745,0.14,0.159,0.104,0.645,0.156,1.181,59.35
"Fish, mullet",OtherMeat_Fish,202,21.56,7.79,0.14,0.3,8.82,2.43,2.747,2.186,59,54,55,0,9,0,0,7,0.177,0.128,6.13,0.438,13,12,34,25,78.5,0.22,0,1,1.6,1.67,0,4.2,53,247,34,1.66,0.64,0.072,40.3,391,331,0,0,0,0.032,0.022,0.013,0.03,0.039,0.371,1.486,0.366,0.618,1.861,0.046,0.033,1.367,0.184,0.086,0.102,0.228,0.104,0.113,61.22
"Fish, perch, baked or broiled",OtherMeat_Fish,139,19.03,0.01,0.01,0,6.45,1.533,2.146,1.726,68,32,33,0,9,0,0,0,0.042,0.057,1.248,0.111,0,10,10,10,81.1,1.68,0,0,1.5,1.55,0,4.1,36,308,29,0.28,0.36,0.026,35.5,233,309,0,0,0,0.032,0.022,0.013,0.03,0.038,0.188,0.849,0.301,0.121,1.729,0.212,0.036,1.235,0.173,0.01,0.013,0.077,0.013,0.19,73.87
"Fish, perch, grilled",OtherMeat_Fish,121,19.42,0,0,0,4.22,0.943,1.38,1.06,68,23,23,0,4,0,0,0,0.043,0.058,1.274,0.098,0,10,10,10,82.6,1.71,0,0,1.5,1.27,0,2.1,36,315,29,0.28,0.37,0.027,36.3,237,303,0,0,0,0.016,0.011,0.007,0.015,0.02,0.133,0.524,0.18,0.11,0.986,0.205,0.037,0.638,0.097,0.01,0.012,0.079,0.013,0.194,75.73
"Fish, perch, steamed",OtherMeat_Fish,115,24.5,0,0,0,1.16,0.234,0.192,0.465,114,10,10,0,0,0,0,0,0.075,0.12,1.92,0.136,0,6,6,6,82.1,2.16,0,1.7,3.8,0.25,0,0.1,101,253,38,1.14,1.4,0.189,15.9,340,176,0,0,0,0,0,0,0,0,0.016,0.177,0.039,0.072,0.088,0.03,0,0.014,0.015,0.01,0.066,0.1,0.035,0.22,73.38
"Fish, pike",OtherMeat_Fish,172,21.47,7.79,0.14,0.3,5.58,1.384,1.782,1.649,49,40,41,0,9,0,0,7,0.148,0.112,3.092,0.148,13,17,39,30,73,1.9,0,3.2,2.7,0.83,0,4.2,70,246,36,1.16,0.8,0.072,15.3,288,304,0,0,0,0.032,0.022,0.013,0.03,0.037,0.133,0.785,0.28,0.086,1.637,0.035,0.005,1.309,0.18,0,0.031,0.035,0.015,0.078,63.22
"Fish, pompano, baked or broiled",OtherMeat_Fish,244,22.96,0.01,0.01,0,16.3,5.552,4.767,2.761,66,62,62,0,9,0,0,0,0.591,0.142,3.726,0.253,0,17,17,17,64.4,1.45,0,0,13.7,0.83,0,4.1,28,243,34,0.75,0.9,0.047,45.3,474,296,0,0,0,0.032,0.022,0.013,0.03,0.036,0.623,3.409,1.267,0.724,4.007,0.022,0,1.346,0.153,0,0.307,0.218,0.251,0.488,59.03
"Fish, pompano, grilled",OtherMeat_Fish,228,23.43,0,0,0,14.27,5.045,4.056,2.116,65,53,53,0,4,0,0,0,0.603,0.145,3.803,0.243,0,17,17,17,65.5,1.48,0,0,14,0.53,0,2.1,28,247,34,0.76,0.91,0.048,46.3,483,290,0,0,0,0.016,0.011,0.007,0.015,0.018,0.577,3.138,1.166,0.726,3.312,0.011,0,0.751,0.076,0,0.313,0.222,0.256,0.498,60.58
"Fish, pompano, steamed",OtherMeat_Fish,207,23.35,0,0,0,11.96,4.433,3.267,1.436,63,43,43,0,0,0,0,0,0.601,0.144,3.79,0.227,0,17,17,17,65.1,1.48,0,0,13.9,0.23,0,0.1,28,246,34,0.76,0.91,0.048,46.1,481,180,0,0,0,0,0,0,0,0,0.518,2.801,1.041,0.711,2.556,0,0,0.153,0,0,0.311,0.221,0.255,0.496,63.26
"Fish, snapper",OtherMeat_Fish,185,22.78,7.79,0.14,0.3,6.26,1.559,1.881,1.918,47,50,51,0,9,0,0,7,0.138,0.052,0.979,0.415,13,8,30,21,73,2.85,0,1.3,10.8,1.63,0,4.2,44,223,37,0.78,0.48,0.048,42.1,454,330,0,0,0,0.032,0.022,0.013,0.03,0.036,0.152,0.873,0.346,0.09,1.727,0.044,0,1.295,0.162,0.01,0.053,0.054,0.069,0.272,61.07
"Fish, salmon, raw",OtherMeat_Fish,188,20.44,0,0,0,11.16,2.49,3.165,3.117,53,52,52,0,0,0,0,0,0.175,0.143,8.503,0.63,0,20,20,20,82.5,3.46,0,2.9,11,2.76,0,0.5,8,245,27,0.35,0.37,0.05,25.8,364,63,0,0,0,0,0,0,0,0.001,0.468,1.526,0.397,0.638,2.194,0.311,0.012,0.695,0.137,0.109,0.073,0.692,0.306,0.911,67.55
"Fish, salmon, baked or broiled",OtherMeat_Fish,274,25.4,0.01,0.01,0,18.4,4.286,5.486,5.22,69,75,75,0,9,0,0,0,0.185,0.168,10.559,0.733,0,23,23,23,102.9,3.87,0,2.9,13.7,4.04,0,4.6,11,305,34,0.44,0.46,0.062,32.1,452,294,0,0,0,0.032,0.022,0.013,0.03,0.037,0.695,2.551,0.736,0.818,4.219,0.408,0.015,2.059,0.323,0.135,0.092,0.86,0.381,1.132,54.59
"Fish, salmon, grilled",OtherMeat_Fish,259,25.92,0,0,0,16.48,3.768,4.805,4.646,69,66,67,0,4,0,0,0,0.19,0.172,10.783,0.733,0,24,24,24,104.7,3.94,0,3,13.9,3.82,0,2.6,11,311,34,0.45,0.47,0.063,32.7,461,288,0,0,0,0.016,0.011,0.007,0.015,0.019,0.652,2.271,0.627,0.826,3.542,0.404,0.015,1.484,0.251,0.138,0.093,0.882,0.391,1.16,55.98
"Fish, salmon, steamed",OtherMeat_Fish,237,25.82,0,0,0,14.1,3.146,3.998,3.938,67,56,56,0,0,0,0,0,0.188,0.171,10.741,0.716,0,23,23,23,104.3,3.93,0,3,13.9,3.49,0,0.6,11,310,34,0.44,0.46,0.063,32.7,460,177,0,0,0,0,0,0,0,0.001,0.591,1.927,0.501,0.806,2.771,0.393,0.015,0.878,0.173,0.137,0.092,0.874,0.387,1.151,58.75
"Fish, bass, baked or broiled",OtherMeat_Fish,161,22.9,0.01,0.01,0,7.02,1.829,2.083,2.271,55,68,69,0,9,0,0,0,0.116,0.142,1.987,0.476,0,6,6,6,75.9,0.34,0,0,7,1.65,0,4.1,13,241,51,0.36,0.5,0.024,45.3,319,300,0,0,0,0.032,0.022,0.013,0.03,0.036,0.175,1.056,0.415,0.186,1.86,0.022,0,1.225,0.153,0.057,0.002,0.2,0.095,0.539,67.91
"Fish, bass, grilled",OtherMeat_Fish,143,23.37,0,0,0,4.8,1.245,1.315,1.616,54,59,60,0,4,0,0,0,0.119,0.145,2.028,0.471,0,6,6,6,77.3,0.34,0,0,7.1,1.37,0,2.1,13,246,52,0.37,0.51,0.024,46.3,325,294,0,0,0,0.016,0.011,0.007,0.015,0.018,0.119,0.736,0.297,0.177,1.12,0.011,0,0.628,0.076,0.058,0.001,0.204,0.097,0.55,69.64
"Fish, bass, steamed",OtherMeat_Fish,123,23.28,0,0,0,2.53,0.646,0.536,0.939,52,49,49,0,0,0,0,0,0.118,0.144,2.021,0.455,0,6,6,6,76.8,0.34,0,0,7.1,1.06,0,0.1,13,245,52,0.37,0.5,0.024,46.1,323,184,0,0,0,0,0,0,0,0,0.062,0.407,0.174,0.164,0.371,0,0,0.03,0,0.058,0,0.203,0.096,0.548,72.3
"Fish, shark",OtherMeat_Fish,216,23.27,7.79,0.14,0.3,9.58,2.23,3.512,2.689,61,84,84,0,9,0,0,7,0.134,0.111,3.76,0.415,13,6,28,19,73,1.42,0,0,0.7,1.67,0,4.2,46,236,55,1.47,0.55,0.053,40.3,184,346,0,0,0,0.032,0.022,0.013,0.03,0.036,0.198,1.464,0.384,0.292,2.58,0.3,0.325,1.355,0.187,0.033,0.115,0.331,0.115,0.552,57.62
"Fish, swordfish",OtherMeat_Fish,231,21.89,7.79,0.14,0.3,11.82,2.951,4.765,2.641,77,53,54,0,9,0,0,7,0.163,0.102,8.812,0.55,13,5,27,18,73,1.62,0,0,14.6,2.74,0,4.2,15,283,34,0.98,0.79,0.059,62.2,455,348,0,0,0,0.032,0.022,0.013,0.03,0.043,0.271,1.772,0.62,0.277,3.907,0.419,0.134,1.354,0.187,0.006,0.075,0.114,0.148,0.679,57.41
"Fish, trout, baked or broiled",OtherMeat_Fish,216,24.78,0.01,0.01,0,12.21,2.912,4.014,3.22,77,108,109,0,9,0,0,0,0.127,0.106,6.913,0.409,0,12,12,12,81.1,4.81,0,2.9,19.8,3.51,0,4.1,32,281,31,0.39,0.56,0.057,29.3,469,279,0,0,0,0.032,0.022,0.013,0.03,0.041,0.34,1.808,0.528,0.447,3.202,0.297,0.022,1.806,0.236,0.001,0.055,0.27,0.114,0.641,62.36
"Fish, trout, grilled",OtherMeat_Fish,199,25.28,0,0,0,10.1,2.35,3.287,2.585,77,100,101,0,4,0,0,0,0.129,0.109,7.057,0.402,0,13,13,13,82.6,4.91,0,2.9,20.2,3.27,0,2.1,32,287,32,0.4,0.57,0.058,29.9,478,273,0,0,0,0.016,0.011,0.007,0.015,0.023,0.288,1.504,0.412,0.444,2.489,0.292,0.023,1.221,0.161,0.001,0.055,0.275,0.116,0.654,63.98
"Fish, trout, steamed",OtherMeat_Fish,178,25.19,0,0,0,7.81,1.747,2.5,1.904,75,90,90,0,0,0,0,0,0.129,0.108,7.033,0.387,0,13,13,13,82.1,4.89,0,2.9,20.1,2.96,0,0.1,32,286,32,0.39,0.57,0.058,29.8,476,162,0,0,0,0,0,0,0,0.005,0.23,1.172,0.289,0.43,1.736,0.28,0.023,0.622,0.085,0.001,0.054,0.274,0.115,0.652,66.65
"Fish, tuna, raw",OtherMeat_Fish,109,24.4,0,0,0,0.49,0.172,0.116,0.147,39,18,18,0,0,0,0,0,0.118,0.115,18.475,0.933,0,2,2,2,65,2.08,0,0,1.7,0.24,0,0.1,4,278,35,0.77,0.37,0.036,90.6,441,45,0,0,0,0,0,0,0,0.001,0.009,0.106,0.045,0.011,0.083,0.008,0.001,0.019,0.002,0,0.015,0.012,0.004,0.088,74.03
"Fish, tuna, cooked",OtherMeat_Fish,176,30.31,0.01,0.01,0,5.14,1.408,1.7,1.531,52,38,39,0,9,0,0,0,0.125,0.136,22.942,1.072,0,2,2,2,81.1,2.33,0,0,2.2,0.9,0,4.1,6,346,44,0.96,0.46,0.045,112.5,548,271,0,0,0,0.032,0.022,0.013,0.03,0.037,0.125,0.788,0.299,0.039,1.598,0.031,0.001,1.219,0.155,0,0.02,0.015,0.006,0.109,62.64
"Fish, whiting, baked or broiled",OtherMeat_Fish,153,22.75,0.01,0.01,0,6.16,1.501,1.902,1.873,87,51,52,0,9,0,0,0,0.059,0.055,1.615,0.203,0,15,15,15,81.1,2.57,0,0,1.8,0.98,0,4.1,60,276,26,0.43,1.09,0.039,39.9,310,305,0,0,0,0.032,0.022,0.013,0.03,0.036,0.17,0.852,0.283,0.127,1.696,0.059,0.005,1.22,0.195,0.051,0.099,0.116,0.023,0.163,70.39
"Fish, whiting, grilled",OtherMeat_Fish,134,23.22,0,0,0,3.93,0.91,1.132,1.209,87,42,42,0,4,0,0,0,0.06,0.056,1.648,0.193,0,15,15,15,82.6,2.62,0,0,1.8,0.68,0,2.1,61,282,27,0.43,1.12,0.039,40.7,316,299,0,0,0,0.016,0.011,0.007,0.015,0.018,0.114,0.528,0.162,0.116,0.953,0.049,0.005,0.623,0.12,0.052,0.1,0.118,0.023,0.166,72.18
